InventoryMovementKey,MovementDate,ProductN,UnitsIn,UnitsOut,UnitsBalance
1,2017-01-01,2,20,0,20
2,2017-01-01,2,0,2,18
3,2017-01-01,6,15,0,15
4,2017-01-01,7,12,0,12
5,2017-01-01,8,15,0,15
6,2017-01-01,8,0,1,14
7,2017-01-01,14,18,0,18
8,2017-01-01,18,18,0,18
9,2017-01-01,18,0,1,17
10,2017-01-01,20,19,0,19
11,2017-01-01,20,0,2,17
12,2017-01-01,21,20,0,20
13,2017-01-01,21,0,1,19
14,2017-01-01,25,11,0,11
15,2017-01-01,25,0,1,10
16,2017-01-01,26,11,0,11
17,2017-01-01,27,18,0,18
18,2017-01-01,27,0,2,16
19,2017-01-01,28,13,0,13
20,2017-01-01,29,14,0,14
21,2017-01-01,29,0,1,13
22,2017-01-01,30,13,0,13
23,2017-01-01,31,12,0,12
24,2017-01-01,34,19,0,19
25,2017-01-01,36,19,0,19
26,2017-01-01,41,16,0,16
27,2017-01-01,41,0,1,15
28,2017-01-01,43,15,0,15
29,2017-01-01,44,13,0,13
30,2017-01-01,45,15,0,15
31,2017-01-01,45,0,1,14
32,2017-01-01,47,16,0,16
33,2017-01-01,47,0,1,15
34,2017-01-01,49,16,0,16
35,2017-01-01,49,0,1,15
36,2017-01-01,50,11,0,11
37,2017-01-01,50,0,1,10
38,2017-01-01,54,20,0,20
39,2017-01-01,54,0,2,18
40,2017-01-01,55,16,0,16
41,2017-01-01,55,0,2,14
42,2017-01-01,56,18,0,18
43,2017-01-01,57,20,0,20
44,2017-01-01,58,12,0,12
45,2017-01-01,58,0,1,11
46,2017-01-01,62,13,0,13
47,2017-01-01,62,0,1,12
48,2017-01-01,63,12,0,12
49,2017-01-01,63,0,2,10
50,2017-01-01,65,18,0,18
51,2017-01-01,66,11,0,11
52,2017-01-01,66,0,1,10
53,2017-01-01,68,13,0,13
54,2017-01-01,70,18,0,18
55,2017-01-01,72,15,0,15
56,2017-01-01,74,19,0,19
57,2017-01-01,75,17,0,17
58,2017-01-01,75,0,2,15
59,2017-01-01,76,19,0,19
60,2017-01-01,76,0,2,17
61,2017-01-01,76,0,2,15
62,2017-01-01,77,20,0,20
63,2017-01-01,77,0,3,17
64,2017-01-01,83,19,0,19
65,2017-01-01,83,0,3,16
66,2017-01-01,83,0,3,13
67,2017-01-01,84,17,0,17
68,2017-01-01,85,10,0,10
69,2017-01-01,85,0,3,7
70,2017-01-01,86,13,0,13
71,2017-01-01,88,14,0,14
72,2017-01-01,88,0,3,11
73,2017-01-01,89,10,0,10
74,2017-01-01,90,15,0,15
75,2017-01-01,90,0,2,13
76,2017-01-01,90,0,2,11
77,2017-01-01,92,18,0,18
78,2017-01-01,92,0,2,16
79,2017-01-01,92,0,2,14
80,2017-01-01,99,15,0,15
81,2017-01-01,99,0,1,14
82,2017-01-01,99,0,2,12
83,2017-01-01,102,11,0,11
84,2017-01-01,102,0,3,8
85,2017-01-01,102,0,8,0
86,2017-01-01,103,15,0,15
87,2017-01-01,103,0,6,9
88,2017-01-01,107,13,0,13
89,2017-01-01,107,0,5,8
90,2017-01-01,107,0,7,1
91,2017-01-01,108,15,0,15
92,2017-01-01,108,0,8,7
93,2017-01-01,108,0,5,2
94,2017-01-01,108,0,2,0
95,2017-01-01,109,13,0,13
96,2017-01-01,109,0,6,7
97,2017-01-01,109,0,3,4
98,2017-01-01,110,20,0,20
99,2017-01-01,110,0,5,15
100,2017-01-01,110,0,8,7
101,2017-01-01,110,0,3,4
102,2017-01-01,111,19,0,19
103,2017-01-01,111,0,6,13
104,2017-01-01,111,0,2,11
105,2017-01-01,111,0,1,10
106,2017-01-01,111,0,4,6
107,2017-01-01,113,16,0,16
108,2017-01-01,113,0,4,12
109,2017-01-01,113,0,1,11
110,2017-01-01,113,0,8,3
111,2017-01-01,114,13,0,13
112,2017-01-01,114,0,8,5
113,2017-01-01,116,13,0,13
114,2017-01-01,116,0,7,6
115,2017-01-01,118,13,0,13
116,2017-01-01,118,0,5,8
117,2017-01-01,118,0,8,0
118,2017-01-01,119,17,0,17
119,2017-01-01,119,0,8,9
120,2017-01-01,119,0,2,7
121,2017-01-01,119,0,1,6
122,2017-01-01,120,20,0,20
123,2017-01-01,120,0,3,17
124,2017-01-01,120,0,2,15
125,2017-01-01,120,0,3,12
126,2017-01-01,120,0,6,6
127,2017-01-01,121,11,0,11
128,2017-01-01,121,0,7,4
129,2017-01-01,121,0,2,2
130,2017-01-01,121,0,2,0
131,2017-01-01,122,20,0,20
132,2017-01-01,122,0,2,18
133,2017-01-01,122,0,5,13
134,2017-01-01,122,0,1,12
135,2017-01-01,122,0,8,4
136,2017-01-01,122,0,4,0
137,2017-01-01,124,17,0,17
138,2017-01-01,124,0,5,12
139,2017-01-01,124,0,4,8
140,2017-01-01,124,0,6,2
141,2017-01-01,124,0,2,0
142,2017-01-02,1,14,0,14
143,2017-01-02,2,18,0,36
144,2017-01-02,2,0,1,35
145,2017-01-02,4,11,0,11
146,2017-01-02,7,12,0,24
147,2017-01-02,8,14,0,28
148,2017-01-02,9,12,0,12
149,2017-01-02,13,18,0,18
150,2017-01-02,13,0,1,17
151,2017-01-02,14,0,1,17
152,2017-01-02,16,17,0,17
153,2017-01-02,16,0,2,15
154,2017-01-02,18,0,2,15
155,2017-01-02,20,18,0,35
156,2017-01-02,20,0,1,34
157,2017-01-02,21,13,0,32
158,2017-01-02,21,0,2,30
159,2017-01-02,22,18,0,18
160,2017-01-02,22,0,1,17
161,2017-01-02,23,15,0,15
162,2017-01-02,23,0,1,14
163,2017-01-02,25,0,2,8
164,2017-01-02,27,19,0,35
165,2017-01-02,27,0,2,33
166,2017-01-02,30,19,0,32
167,2017-01-02,30,0,1,31
168,2017-01-02,31,0,2,10
169,2017-01-02,32,12,0,12
170,2017-01-02,32,0,2,10
171,2017-01-02,34,18,0,37
172,2017-01-02,36,11,0,30
173,2017-01-02,36,0,1,29
174,2017-01-02,37,16,0,16
175,2017-01-02,38,10,0,10
176,2017-01-02,41,19,0,34
177,2017-01-02,44,19,0,32
178,2017-01-02,44,0,2,30
179,2017-01-02,45,0,1,13
180,2017-01-02,46,14,0,14
181,2017-01-02,46,0,2,12
182,2017-01-02,47,0,2,13
183,2017-01-02,49,15,0,30
184,2017-01-02,49,0,2,28
185,2017-01-02,50,16,0,26
186,2017-01-02,50,0,2,24
187,2017-01-02,51,20,0,20
188,2017-01-02,51,0,1,19
189,2017-01-02,52,18,0,18
190,2017-01-02,52,0,1,17
191,2017-01-02,54,0,2,16
192,2017-01-02,56,0,2,16
193,2017-01-02,57,0,2,18
194,2017-01-02,58,19,0,30
195,2017-01-02,58,0,1,29
196,2017-01-02,59,10,0,10
197,2017-01-02,59,0,2,8
198,2017-01-02,60,13,0,13
199,2017-01-02,62,13,0,25
200,2017-01-02,62,0,1,24
201,2017-01-02,63,20,0,30
202,2017-01-02,63,0,2,28
203,2017-01-02,65,0,1,17
204,2017-01-02,66,0,1,9
205,2017-01-02,68,19,0,32
206,2017-01-02,68,0,1,31
207,2017-01-02,69,15,0,15
208,2017-01-02,69,0,2,13
209,2017-01-02,70,0,1,17
210,2017-01-02,71,12,0,12
211,2017-01-02,72,14,0,29
212,2017-01-02,73,14,0,14
213,2017-01-02,74,11,0,30
214,2017-01-02,75,14,0,29
215,2017-01-02,75,0,1,28
216,2017-01-02,77,10,0,27
217,2017-01-02,77,0,1,26
218,2017-01-02,77,0,2,24
219,2017-01-02,78,12,0,12
220,2017-01-02,78,0,1,11
221,2017-01-02,78,0,2,9
222,2017-01-02,81,17,0,17
223,2017-01-02,81,0,1,16
224,2017-01-02,81,0,1,15
225,2017-01-02,83,18,0,31
226,2017-01-02,84,0,3,14
227,2017-01-02,85,19,0,26
228,2017-01-02,86,15,0,28
229,2017-01-02,88,14,0,25
230,2017-01-02,89,15,0,25
231,2017-01-02,90,16,0,27
232,2017-01-02,92,15,0,29
233,2017-01-02,92,0,3,26
234,2017-01-02,94,18,0,18
235,2017-01-02,95,17,0,17
236,2017-01-02,95,0,3,14
237,2017-01-02,95,0,1,13
238,2017-01-02,98,16,0,16
239,2017-01-02,98,0,2,14
240,2017-01-02,98,0,3,11
241,2017-01-02,100,11,0,11
242,2017-01-02,103,0,2,7
243,2017-01-02,103,0,7,0
244,2017-01-02,104,11,0,11
245,2017-01-02,104,0,7,4
246,2017-01-02,104,0,4,0
247,2017-01-02,105,10,0,10
248,2017-01-02,105,0,3,7
249,2017-01-02,105,0,1,6
250,2017-01-02,107,0,1,0
251,2017-01-02,108,10,0,10
252,2017-01-02,108,0,4,6
253,2017-01-02,108,0,2,4
254,2017-01-02,109,20,0,24
255,2017-01-02,109,0,8,16
256,2017-01-02,110,13,0,17
257,2017-01-02,110,0,2,15
258,2017-01-02,111,0,1,5
259,2017-01-02,111,0,5,0
260,2017-01-02,112,11,0,11
261,2017-01-02,112,0,5,6
262,2017-01-02,112,0,6,0
263,2017-01-02,113,11,0,14
264,2017-01-02,113,0,1,13
265,2017-01-02,114,0,3,2
266,2017-01-02,114,0,1,1
267,2017-01-02,114,0,1,0
268,2017-01-02,115,11,0,11
269,2017-01-02,115,0,6,5
270,2017-01-02,116,0,5,1
271,2017-01-02,116,0,1,0
272,2017-01-02,119,20,0,26
273,2017-01-02,119,0,6,20
274,2017-01-02,119,0,1,19
275,2017-01-02,119,0,4,15
276,2017-01-02,119,0,5,10
277,2017-01-02,120,13,0,19
278,2017-01-02,120,0,6,13
279,2017-01-02,120,0,2,11
280,2017-01-02,120,0,6,5
281,2017-01-02,120,0,5,0
282,2017-01-02,124,20,0,20
283,2017-01-02,124,0,8,12
284,2017-01-02,124,0,8,4
285,2017-01-02,125,11,0,11
286,2017-01-02,125,0,5,6
287,2017-01-02,125,0,1,5
288,2017-01-02,125,0,4,1
289,2017-01-03,1,0,1,13
290,2017-01-03,4,17,0,28
291,2017-01-03,4,0,2,26
292,2017-01-03,5,20,0,20
293,2017-01-03,6,0,1,14
294,2017-01-03,8,14,0,42
295,2017-01-03,8,0,2,40
296,2017-01-03,9,10,0,22
297,2017-01-03,13,18,0,35
298,2017-01-03,13,0,2,33
299,2017-01-03,14,13,0,30
300,2017-01-03,14,0,2,28
301,2017-01-03,16,14,0,29
302,2017-01-03,16,0,1,28
303,2017-01-03,17,20,0,20
304,2017-01-03,17,0,1,19
305,2017-01-03,18,12,0,27
306,2017-01-03,18,0,1,26
307,2017-01-03,19,15,0,15
