InventoryMovementKey,MovementDate,ProductN,UnitsIn,UnitsOut,UnitsBalance
1,2017-01-01,2,15,0,15
2,2017-01-01,2,0,2,13
3,2017-01-01,3,19,0,19
4,2017-01-01,3,0,1,18
5,2017-01-01,5,12,0,12
6,2017-01-01,5,0,2,10
7,2017-01-01,6,19,0,19
8,2017-01-01,7,11,0,11
9,2017-01-01,8,13,0,13
10,2017-01-01,8,0,1,12
11,2017-01-01,9,18,0,18
12,2017-01-01,10,14,0,14
13,2017-01-01,15,16,0,16
14,2017-01-01,15,0,2,14
15,2017-01-01,16,18,0,18
16,2017-01-01,17,18,0,18
17,2017-01-01,17,0,2,16
18,2017-01-01,19,19,0,19
19,2017-01-01,19,0,2,17
20,2017-01-01,20,10,0,10
21,2017-01-01,20,0,1,9
22,2017-01-01,24,10,0,10
23,2017-01-01,24,0,1,9
24,2017-01-01,27,16,0,16
25,2017-01-01,30,20,0,20
26,2017-01-01,32,17,0,17
27,2017-01-01,32,0,2,15
28,2017-01-01,33,16,0,16
29,2017-01-01,35,15,0,15
30,2017-01-01,36,16,0,16
31,2017-01-01,39,11,0,11
32,2017-01-01,40,15,0,15
33,2017-01-01,40,0,2,13
34,2017-01-01,41,14,0,14
35,2017-01-01,41,0,2,12
36,2017-01-01,42,13,0,13
37,2017-01-01,44,10,0,10
38,2017-01-01,44,0,1,9
39,2017-01-01,45,20,0,20
40,2017-01-01,45,0,1,19
41,2017-01-01,47,19,0,19
42,2017-01-01,47,0,1,18
43,2017-01-01,48,19,0,19
44,2017-01-01,48,0,2,17
45,2017-01-01,49,17,0,17
46,2017-01-01,51,14,0,14
47,2017-01-01,51,0,2,12
48,2017-01-01,56,12,0,12
49,2017-01-01,59,10,0,10
50,2017-01-01,59,0,2,8
51,2017-01-01,60,20,0,20
52,2017-01-01,63,10,0,10
53,2017-01-01,66,11,0,11
54,2017-01-01,66,0,1,10
55,2017-01-01,71,15,0,15
56,2017-01-01,71,0,1,14
57,2017-01-01,76,13,0,13
58,2017-01-01,76,0,3,10
59,2017-01-01,76,0,1,9
60,2017-01-01,77,10,0,10
61,2017-01-01,77,0,1,9
62,2017-01-01,77,0,1,8
63,2017-01-01,82,16,0,16
64,2017-01-01,82,0,2,14
65,2017-01-01,82,0,1,13
66,2017-01-01,83,18,0,18
67,2017-01-01,83,0,2,16
68,2017-01-01,83,0,1,15
69,2017-01-01,85,17,0,17
70,2017-01-01,86,13,0,13
71,2017-01-01,86,0,1,12
72,2017-01-01,86,0,1,11
73,2017-01-01,88,16,0,16
74,2017-01-01,92,20,0,20
75,2017-01-01,101,17,0,17
76,2017-01-01,101,0,1,16
77,2017-01-01,101,0,7,9
78,2017-01-01,101,0,2,7
79,2017-01-01,101,0,7,0
80,2017-01-01,102,13,0,13
81,2017-01-01,102,0,4,9
82,2017-01-01,103,14,0,14
83,2017-01-01,103,0,1,13
84,2017-01-01,103,0,3,10
85,2017-01-01,103,0,1,9
86,2017-01-01,104,18,0,18
87,2017-01-01,104,0,4,14
88,2017-01-01,105,19,0,19
89,2017-01-01,105,0,2,17
90,2017-01-01,105,0,4,13
91,2017-01-01,105,0,2,11
92,2017-01-01,105,0,8,3
93,2017-01-01,108,19,0,19
94,2017-01-01,108,0,8,11
95,2017-01-01,108,0,1,10
96,2017-01-01,108,0,8,2
97,2017-01-01,110,17,0,17
98,2017-01-01,110,0,2,15
99,2017-01-01,114,12,0,12
100,2017-01-01,114,0,7,5
101,2017-01-01,114,0,5,0
102,2017-01-01,116,10,0,10
103,2017-01-01,116,0,1,9
104,2017-01-01,117,19,0,19
105,2017-01-01,117,0,6,13
106,2017-01-01,117,0,4,9
107,2017-01-01,117,0,6,3
108,2017-01-01,117,0,3,0
109,2017-01-01,118,13,0,13
110,2017-01-01,118,0,2,11
111,2017-01-01,118,0,7,4
112,2017-01-01,119,16,0,16
113,2017-01-01,119,0,4,12
114,2017-01-01,119,0,1,11
115,2017-01-01,120,10,0,10
116,2017-01-01,120,0,4,6
117,2017-01-01,120,0,1,5
118,2017-01-01,120,0,4,1
119,2017-01-01,120,0,1,0
120,2017-01-01,123,18,0,18
121,2017-01-01,123,0,3,15
122,2017-01-01,123,0,1,14
123,2017-01-01,123,0,6,8
124,2017-01-01,123,0,4,4
125,2017-01-01,123,0,4,0
126,2017-01-01,124,17,0,17
127,2017-01-01,124,0,1,16
128,2017-01-01,124,0,5,11
129,2017-01-01,125,11,0,11
130,2017-01-01,125,0,6,5
131,2017-01-01,125,0,5,0
132,2017-01-02,1,18,0,18
133,2017-01-02,2,15,0,28
134,2017-01-02,3,0,1,17
135,2017-01-02,5,10,0,20
136,2017-01-02,5,0,1,19
137,2017-01-02,6,11,0,30
138,2017-01-02,8,12,0,24
139,2017-01-02,10,17,0,31
140,2017-01-02,11,12,0,12
141,2017-01-02,11,0,2,10
142,2017-01-02,12,15,0,15
143,2017-01-02,12,0,1,14
144,2017-01-02,16,15,0,33
145,2017-01-02,16,0,1,32
146,2017-01-02,17,15,0,31
147,2017-01-02,19,0,1,16
148,2017-01-02,20,0,2,7
149,2017-01-02,21,17,0,17
150,2017-01-02,24,0,2,7
151,2017-01-02,26,17,0,17
152,2017-01-02,26,0,1,16
153,2017-01-02,27,18,0,34
154,2017-01-02,27,0,2,32
155,2017-01-02,31,19,0,19
156,2017-01-02,34,16,0,16
157,2017-01-02,35,16,0,31
158,2017-01-02,35,0,2,29
159,2017-01-02,36,15,0,31
160,2017-01-02,36,0,1,30
161,2017-01-02,37,18,0,18
162,2017-01-02,38,20,0,20
163,2017-01-02,39,0,1,10
164,2017-01-02,40,14,0,27
165,2017-01-02,41,0,1,11
166,2017-01-02,43,15,0,15
167,2017-01-02,45,20,0,39
168,2017-01-02,45,0,2,37
169,2017-01-02,46,13,0,13
170,2017-01-02,46,0,2,11
171,2017-01-02,47,0,2,16
172,2017-01-02,48,0,1,16
173,2017-01-02,49,0,1,16
174,2017-01-02,50,17,0,17
